Date	CS106B	StatsUD	NLP	CS171	StatsMIT	DB	CS109	Stats101
17-9-2014	0	0	0	4.5	4	0	0	0
18-9-2014	0	0	0	0	7	0	0	0
19-9-2014	0	0	0	0	7	0	0	0
20-9-2014	0	0	0	0	0	0	0	0
21-9-2014	0	0	0	0	0	7	0	0
22-9-2014	0	0	0	0	0	5	0	0
23-9-2014	5	0	0	0	0	2	0	0
24-9-2014	0	0	0	0	0	6	0	0
25-9-2014	2	0	0	0	0	5	0	0
26-9-2014	5	0	0	0	0	0	0	0
27-9-2014	0	0	0	0	0	0	0	0
28-9-2014	2	0	0	0	0	0	0	0
29-9-2014	6	0	0	0	0	0	0	0
30-9-2014	7	0	0	0	0	0	0	0
1-10-2014	7	0	0	0	0	0	0	0
2-10-2014	0	0	0	0	0	0	0	0
3-10-2014	0	0	0	0	0	0	0	0
4-10-2014	0	0	0	0	0	0	0	0
5-10-2014	0	0	0	0	0	0	0	0
6-10-2014	0	0	0	0	0	0	0	0
7-10-2014	0	0	0	0	0	0	0	0
8-10-2014	0	0	0	0	0	0	0	0
9-10-2014	0	0	0	0	0	0	0	0
